f_bus;t_bus;lambda_perm;lambda_temp;r_perm;r_temp;sectioning_time
1;2;0.01151684923136;0.00109377897728;5.0;0.02;0.5
2;3;0.00715656331456;0.0006796736108800001;5.0;0.02;0.5
3;4;0.013178541573120001;0.0012515933337600002;5.0;0.02;0.5
4;5;0.0034374600374399997;0.00032646268512000003;5.0;0.02;0.5
5;7;0.013789503431352624;0.01507467125744846;3.0;0.02;0.5
7;9;0.007755694227822599;0.008478517115554177;3.0;0.02;0.5
9;12;0.023735311300025562;0.025947418398516612;3.0;0.02;0.5
12;26;0.019214896279401903;0.021005705252545154;3.0;0.02;0.5
26;33;0.018165630062033308;0.01985864848091299;3.0;0.02;0.5
33;37;0.013078283231949015;0.014297166052055095;3.0;0.02;0.5
37;40;0.02741401354630068;0.029968971987643565;3.0;0.02;0.5
40;42;0.03281957911177698;0.03587833081740859;3.0;0.02;0.5
42;44;0.013923850170097759;0.015221538976882689;3.0;0.02;0.5
44;45;0.0024084789096471587;0.002632946717347272;3.0;0.02;0.5
45;46;0.01918063455585236;0.020968250370881424;3.0;0.02;0.5
46;47;0.033414240733462976;0.03652841430308044;3.0;0.02;0.5
47;48;0.003420816859906759;0.003739633544583208;3.0;0.02;0.5
48;67;0.01244060212110156;0.013600053704176517;3.0;0.02;0.5
67;68;0.016462575167470062;0.017996870586100774;3.0;0.02;0.5
68;69;0.02150621906655623;0.023510577014824695;3.0;0.02;0.5
69;70;0.011101918826506869;0.012136606475324888;3.0;0.02;0.5
70;71;0.007299113999726899;0.007979384070230414;3.0;0.02;0.5
71;72;0.012008267272260677;0.013127425683025527;3.0;0.02;0.5
72;73;0.00011587565253477961;1.100495024073326e-05;5.0;0.02;0.5
73;74;0.00017218905376663435;1.635315035772505e-05;5.0;0.02;0.5
74;75;0.009621039012835229;0.000913729962112843;5.0;0.02;0.5
75;76;1.0049775799004478e-05;9.5444798091104e-07;5.0;0.02;0.5
76;77;3.3528131329430197e-06;3.1842359363146e-07;5.0;0.02;0.5
77;78;4.26249111474946e-06;4.0481759190358006e-07;5.0;0.02;0.5
78;79;0.016154192231372957;0.0015341970275605603;5.0;0.02;0.5
79;80;7.797240170564624e-05;7.40520016198875e-06;5.0;0.02;0.5
80;81;0.00010233877723865992;9.719325212610161e-06;5.0;0.02;0.5
81;82;0.0020236924650182714;0.00019219425645424927;5.0;0.02;0.5
82;83;0.017141808048124825;0.01873940728686694;3.0;0.02;0.5
83;85;0.013453470392349178;0.014707320277782225;3.0;0.02;0.5
85;86;0.013179966679418332;0.014408326294376717;3.0;0.02;0.5
86;92;3.7773295244530497e-06;3.5874079282515e-07;5.0;0.02;0.5
92;93;3.63871192722576e-06;3.4557599308848003e-07;5.0;0.02;0.5
93;94;0.008929185601941746;0.000848023213592233;5.0;0.02;0.5
94;95;0.0008878322105463282;8.431926021948369e-05;5.0;0.02;0.5
95;96;0.004857615848979138;0.0004613378180594712;5.0;0.02;0.5
4;6;0.003805797516699029;0.0003614444568932039;5.0;0.02;0.5
5;8;5.611139780079915e-05;5.32901543359545e-06;5.0;0.02;0.5
7;10;3.07557793848844e-06;2.9209399415812003e-07;5.0;0.02;0.5
7;11;6.0125382797478e-06;5.710231885794e-07;5.0;0.02;0.5
9;13;0.0036879456950488104;0.00035025182578675857;5.0;0.02;0.5
13;14;0.008277176547313237;0.00078610056594595;5.0;0.02;0.5
12;16;0.0024342816872769003;0.0026611542878543447;3.0;0.02;0.5
16;18;0.019408193332193985;0.02121701739589972;3.0;0.02;0.5
18;19;0.02124964534107989;0.02323009087664653;3.0;0.02;0.5
19;21;0.01034840437548661;0.0009828093540964937;5.0;0.02;0.5
21;22;6.912924209058398e-05;6.565347014189541e-06;5.0;0.02;0.5
22;23;0.004491060398625353;0.004909622702779354;3.0;0.02;0.5
23;24;0.011624015036637896;0.012707361526198608;3.0;0.02;0.5
24;25;4.894933902101319e-06;4.6488199070236e-07;5.0;0.02;0.5
16;17;7.932608923525642e-05;7.533762664800891e-06;5.0;0.02;0.5
19;20;3.07557793848844e-06;2.9209399415812003e-07;5.0;0.02;0.5
26;27;0.00225333998208;0.00021400435584000002;5.0;0.02;0.5
27;28;4.19318231613492e-06;3.9823519203516005e-07;5.0;0.02;0.5
28;29;3.09290513814118e-06;2.9373959412514006e-07;5.0;0.02;0.5
29;30;0.0007400187929181079;7.028111441121695e-05;5.0;0.02;0.5
30;31;0.00041398223671999893;3.931674873877085e-05;5.0;0.02;0.5
31;32;0.00505932061184;0.00048049413632000003;5.0;0.02;0.5
33;34;0.01963761911307353;0.021467825428397768;3.0;0.02;0.5
34;35;0.010564962619858556;0.0010033763381988574;5.0;0.02;0.5
35;36;6.28977347420417e-06;5.973527880529101e-07;5.0;0.02;0.5
37;38;0.007870504413013261;0.00860402749432684;3.0;0.02;0.5
38;39;1.3942981555001679e-05;1.3241937789666402e-06;5.0;0.02;0.5
40;41;0.008591059944459623;0.000815910720982199;5.0;0.02;0.5
42;109;0.009385692292307905;0.010260429357334084;3.0;0.02;0.5
109;110;0.01033801390466066;0.01130150638444012;3.0;0.02;0.5
110;111;8.040903925894708e-05;7.636612667050842e-06;5.0;0.02;0.5
42;43;0.002787218717941494;0.0030469846941728173;3.0;0.02;0.5
43;115;0.016533672913912723;0.01807459457087688;3.0;0.02;0.5
115;118;4.19318231613492e-06;3.9823519203516005e-07;5.0;0.02;0.5
43;112;0.01674880927876853;0.01830978142817517;3.0;0.02;0.5
112;113;4.20184591596308e-06;3.9905799201884e-07;5.0;0.02;0.5
112;114;0.034444921328333135;0.03765515329092338;3.0;0.02;0.5
45;116;0.005227994267021917;0.005715238065207839;3.0;0.02;0.5
116;119;0.0048026385614097855;0.0052502396364026375;3.0;0.02;0.5
119;122;0.00213272971991217;0.00020254974993579272;5.0;0.02;0.5
122;123;0.00016000586600012663;1.5196087832414261e-05;5.0;0.02;0.5
119;121;0.007494003334431323;0.0007117209870688967;5.0;0.02;0.5
116;124;3.07557793848844e-06;2.9209399415812003e-07;5.0;0.02;0.5
119;120;0.0054262561921823976;0.0005153427668553116;5.0;0.02;0.5
47;49;0.006509951014280177;0.0006182635041495141;5.0;0.02;0.5
49;52;4.3317999133639995e-06;4.1139999177200003e-07;5.0;0.02;0.5
52;53;0.009001680812364089;0.0008549082335764779;5.0;0.02;0.5
53;54;0.0056380213683199995;0.00053545454336;5.0;0.02;0.5
54;55;0.00470845174272;0.0004471713945600001;5.0;0.02;0.5
55;56;3.91594712168034e-06;3.7190559256182e-07;5.0;0.02;0.5
56;57;0.00450393533568;0.00042774804864000005;5.0;0.02;0.5
57;58;0.0058278997568;0.0005534876864000001;5.0;0.02;0.5
58;59;0.0007801659981037157;7.409397747353725e-05;5.0;0.02;0.5
59;60;0.008363166707590484;0.0007942672292125042;5.0;0.02;0.5
60;61;0.002594546329708738;0.00024640942796116505;5.0;0.02;0.5
61;62;3.07557793848844e-06;2.9209399415812003e-07;5.0;0.02;0.5
49;50;0.008132466247950994;0.00077235712969367;5.0;0.02;0.5
50;51;3.21419553571573e-06;3.0525879389479e-07;5.0;0.02;0.5
59;117;3.07557793848844e-06;2.9209399415812003e-07;5.0;0.02;0.5
48;63;0.03669650260939579;0.040116579678785326;3.0;0.02;0.5
63;65;0.02956977343439888;0.03232564652526225;3.0;0.02;0.5
65;66;3.3874675322502895e-06;3.2171479356567e-07;5.0;0.02;0.5
63;64;8.582378937739496e-05;8.15086267830008e-06;5.0;0.02;0.5
71;106;0.0015204132073184968;0.0001443967850525947;5.0;0.02;0.5
72;107;0.012398437867899643;0.013553959785059055;3.0;0.02;0.5
107;108;8.528231436555053e-05;8.099437677175191e-06;5.0;0.02;0.5
76;102;3.5000943299966798e-06;3.3241119335164e-07;5.0;0.02;0.5
102;103;0.0016289084486323718;0.00015470080238408002;5.0;0.02;0.5
103;104;0.0030009411516455863;0.00028500558423449706;5.0;0.02;0.5
104;105;4.05456471890763e-06;3.8507039229849006e-07;5.0;0.02;0.5
82;100;0.00526019619292558;0.0004995717054733791;5.0;0.02;0.5
100;101;4.4790811104176596e-06;4.2538759149218e-07;5.0;0.02;0.5
83;84;3.95060152098761e-06;3.7519679249603005e-07;5.0;0.02;0.5
85;97;0.006593814116010033;0.0006262281562691094;5.0;0.02;0.5
97;98;0.0014850547822355732;0.00014103872233522206;5.0;0.02;0.5
98;99;4.1238735175221695e-06;3.9165279216691e-07;5.0;0.02;0.5
86;89;0.002277584683322163;0.00021630692523171387;5.0;0.02;0.5
89;90;0.0011804832101980699;0.00011211293057747033;5.0;0.02;0.5
86;87;0.011088765372142198;0.012122227132266282;3.0;0.02;0.5
87;88;0.00022065106732674036;2.0955687958405512e-05;5.0;0.02;0.5
86;91;0.00340249374784;0.00032314186432000005;5.0;0.02;0.5
9;15;4.19318231613492e-06;3.9823519203516005e-07;5.0;0.02;0.5
